inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost,epoch_model_name,biggest_in_class,cost_per_M_tokens,input_cost_per_M_tokens,output_cost_per_M_tokens,cost_source,api_source,last_updated
anthropic/claude-3-5-sonnet-20240620,0.4371859296482412,0.03525193544123144,25879,24501,1378,benchmarks/lab_bench,199,199,QwM7e2qNDqFivgdyGkgsWm,2024-10-03T11:04:17-04:00,2024-10-03T11:04:17-04:00,2024-10-03T11:07:21-04:00,2024-10-03T11-04-17-04-00_benchmarks-lab-bench_mFvefyDJN3MUrGWjq2ZaRw.json,0.09,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.38190954773869346,0.034528179465409925,25882,24501,1381,benchmarks/lab_bench,199,199,m8veSoCwKFweRSJQ4LAKcM,2024-10-03T11:00:36-04:00,2024-10-03T11:00:36-04:00,2024-10-03T11:01:26-04:00,2024-10-03T11-00-36-04-00_benchmarks-lab-bench_Y5Q7WuZxS2rj3uj43fHWGG.json,0.09,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.4472361809045226,0.035335047084973176,25882,24501,1381,benchmarks/lab_bench,199,199,niALfy7w8FkJZsC6ksoBjv,2024-10-03T10:54:36-04:00,2024-10-03T10:54:36-04:00,2024-10-03T10:55:27-04:00,2024-10-03T10-54-36-04-00_benchmarks-lab-bench_AMLyAMcepWTxJSdh6jV4D3.json,0.09,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.4321608040201005,0.03520487250258459,25880,24501,1379,benchmarks/lab_bench,199,199,59QdNswy6kBoG7tctHXWfD,2024-10-03T11:07:22-04:00,2024-10-03T11:07:22-04:00,2024-10-03T11:08:11-04:00,2024-10-03T11-07-22-04-00_benchmarks-lab-bench_CfNeywFRxd5nirnemitrow.json,0.09,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.4221105527638191,0.03509965855032934,25884,24501,1383,benchmarks/lab_bench,199,199,7p6896kTvBym3whgAoMyGD,2024-10-03T11:01:27-04:00,2024-10-03T11:01:27-04:00,2024-10-03T11:02:21-04:00,2024-10-03T11-01-27-04-00_benchmarks-lab-bench_DJRSjKLC4WtcKzh6Mhyim9.json,0.09,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.4371859296482412,0.03525193544123143,25885,24501,1384,benchmarks/run,199,199,NEgBeVGbHd2UTLH3Tnp9aM,2024-09-11T21:16:20-04:00,2024-09-11T21:16:20-04:00,2024-09-11T21:17:32-04:00,2024-09-11T21-16-20-04-00_benchmarks-run_25qzqukMsKMd6YEBrFBbrb.json,0.09,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.4321608040201005,0.03520487250258459,25877,24501,1376,benchmarks/lab_bench,199,199,FycRDwYFByNWBkAfzjzena,2024-10-03T10:59:45-04:00,2024-10-03T10:59:45-04:00,2024-10-03T11:00:35-04:00,2024-10-03T10-59-45-04-00_benchmarks-lab-bench_UZGX8Yd6sssBDvvcUYquXy.json,0.09,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.4472361809045226,0.035335047084973176,25877,24501,1376,benchmarks/lab_bench,199,199,RCNmxQ465fjny9ZwaL7nKt,2024-10-03T11:02:22-04:00,2024-10-03T11:02:22-04:00,2024-10-03T11:03:14-04:00,2024-10-03T11-02-22-04-00_benchmarks-lab-bench_Wqu9oD9ZM49CFi22mwx9aJ.json,0.09,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.4472361809045226,0.035335047084973176,25879,24501,1378,benchmarks/lab_bench,199,199,UcegV5yXqVeujMQ8S4rEWC,2024-10-03T11:03:15-04:00,2024-10-03T11:03:15-04:00,2024-10-03T11:04:16-04:00,2024-10-03T11-03-15-04-00_benchmarks-lab-bench_e9zYJhoiCYgSvAdob2pDXv.json,0.09,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.4271356783919598,0.03515411887563423,25882,24501,1381,benchmarks/lab_bench,199,199,8zXA63KNLMvTyKfSgqXdNn,2024-10-03T10:55:28-04:00,2024-10-03T10:55:28-04:00,2024-10-03T10:59:44-04:00,2024-10-03T10-55-28-04-00_benchmarks-lab-bench_WQyV7frdzYYESMX4fwrFbX.json,0.09,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0.3869346733668342,0.03461302901134309,28394,27298,1096,benchmarks/lab_bench,199,199,G8cgtaHEugTGpdTG8C2bXY,2024-10-03T11:11:26-04:00,2024-10-03T11:11:26-04:00,2024-10-03T11:11:46-04:00,2024-10-03T11-11-26-04-00_benchmarks-lab-bench_idWkryKfzBmdWFgwSVnkub.json,0.14,Llama 3.1-405B,1,$5.00,,,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,2024-09-03
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0.39195979899497485,0.034693995271705164,28502,27296,1206,benchmarks/lab_bench,199,199,dqZjvrcUSGS5vCygseKXGT,2024-10-03T11:09:35-04:00,2024-10-03T11:09:35-04:00,2024-10-03T11:10:17-04:00,2024-10-03T11-09-35-04-00_benchmarks-lab-bench_f35Vq74ZoSMiYoXAZgmegc.json,0.14,Llama 3.1-405B,1,$5.00,,,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,2024-09-03
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0.40703517587939697,0.03491385802519048,28546,27299,1247,benchmarks/lab_bench,199,199,FmVrxjTXTpSkpYCMkcbhXp,2024-10-03T11:09:13-04:00,2024-10-03T11:09:13-04:00,2024-10-03T11:09:35-04:00,2024-10-03T11-09-13-04-00_benchmarks-lab-bench_WRj85AAmMjfqjTC9v4iGRn.json,0.14,Llama 3.1-405B,1,$5.00,,,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,2024-09-03
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0.34673366834170855,0.033822877290110485,28627,27296,1331,benchmarks/lab_bench,199,199,msuH97zAwXEhqd9pheiQun,2024-10-03T11:08:52-04:00,2024-10-03T11:08:52-04:00,2024-10-03T11:09:13-04:00,2024-10-03T11-08-52-04-00_benchmarks-lab-bench_Z32ZtrXaVZqbEXqmHkd89S.json,0.14,Llama 3.1-405B,1,$5.00,,,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,2024-09-03
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0.38190954773869346,0.034528179465409925,28415,27298,1117,benchmarks/lab_bench,199,199,HGF5GMB5UGctWVxQBETE88,2024-10-03T11:08:12-04:00,2024-10-03T11:08:12-04:00,2024-10-03T11:08:51-04:00,2024-10-03T11-08-12-04-00_benchmarks-lab-bench_iYVP9gxXyHoMFJ2Np6PXtJ.json,0.14,Llama 3.1-405B,1,$5.00,,,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,2024-09-03
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0.4020100502512563,0.03484438491844332,28612,27296,1316,benchmarks/lab_bench,199,199,8gdc3E3hSmGjeUkooN4DEm,2024-10-03T11:11:47-04:00,2024-10-03T11:11:47-04:00,2024-10-03T11:12:09-04:00,2024-10-03T11-11-47-04-00_benchmarks-lab-bench_dnVVxDLzbNRv233SpUZ86K.json,0.14,Llama 3.1-405B,1,$5.00,,,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,2024-09-03
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0.37185929648241206,0.03434671408143737,28680,27298,1382,benchmarks/lab_bench,199,199,HwihDTdUYHMmVuz92jP4tf,2024-10-03T11:11:03-04:00,2024-10-03T11:11:03-04:00,2024-10-03T11:11:25-04:00,2024-10-03T11-11-03-04-00_benchmarks-lab-bench_7zSVY7nYrKjokyxWbgjTZT.json,0.14,Llama 3.1-405B,1,$5.00,,,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,2024-09-03
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0.3869346733668342,0.03461302901134309,28510,27297,1213,benchmarks/lab_bench,199,199,4aDrCmPjL5XJd872VoPZu5,2024-10-03T11:10:40-04:00,2024-10-03T11:10:40-04:00,2024-10-03T11:11:02-04:00,2024-10-03T11-10-40-04-00_benchmarks-lab-bench_iQCvQe9B8xJKUUFWdSgpxp.json,0.14,Llama 3.1-405B,1,$5.00,,,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,2024-09-03
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0.38190954773869346,0.034528179465409925,28624,27296,1328,benchmarks/run,199,199,3ED5f3Usx7fscuqTSUR57D,2024-09-16T14:46:24-04:00,2024-09-16T14:46:24-04:00,2024-09-16T14:46:44-04:00,2024-09-16T14-46-24-04-00_benchmarks-run_DKbdUzXgT88cikRDmZXwsD.json,0.14,Llama 3.1-405B,1,$5.00,,,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,2024-09-03
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0.35678391959798994,0.034044619734995264,28543,27298,1245,benchmarks/lab_bench,199,199,GFVvUUTGVp3AygrFYjCEda,2024-10-03T11:10:18-04:00,2024-10-03T11:10:18-04:00,2024-10-03T11:10:39-04:00,2024-10-03T11-10-18-04-00_benchmarks-lab-bench_EKTB7QaCdPdSKQSyUztmZZ.json,0.14,Llama 3.1-405B,1,$5.00,,,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,2024-09-03
